building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id,internal_temp_sensor,external_temp_sensor,,,,,,,,,,,,,,,
biotech,1,257B,2,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/hood_sash,,,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,,,,,,,,,,,,,,
biotech,1,260,2,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/hood_sash,,,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,,,,,,,,,,,,,,
biotech,1,260B,2,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/hood_sash,,,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,,,,,,,,,,,,,,
biotech,1,267,2,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/hood_sash,,,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,,,,,,,,,,,,,,
biotech,1,267B,2,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267b_control/hood_sash,,,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,,,,,,,,,,,,,,
biotech,1,303,3,biotech_main,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_303_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_303_control/hood_sash,,,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_303_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,,,,,,,,,,,,,,
biotech,1,303B,3,biotech_main,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_303b_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_303b_control/hood_sash,,,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_303b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,,,,,,,,,,,,,,
biotech,1,309,3,biotech_main,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_309_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_309_control/hood_sash,,,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_309_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,,,,,,,,,,,,,,
biotech,1,309B,3,biotech_main,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_309b_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_309b_control/hood_sash,,,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_309b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,,,,,,,,,,,,,,
biotech,1,317,3,biotech_main,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_317_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_317_control/hood_sash,,,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_317_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,,,,,,,,,,,,,,
biotech,1,317B,3,biotech_main,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_317b_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_317b_control/hood_sash,,,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_317b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,,,,,,,,,,,,,,
biotech,1,318,3,biotech_main,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_318_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_318_control/hood_sash,,,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_318_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,,,,,,,,,,,,,,
biotech,1,321,3,biotech_main,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_321_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_321_control/hood_sash,,,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_321_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,,,,,,,,,,,,,,
biotech,1,321B,3,biotech_main,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_321b_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_321b_control/hood_sash,,,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_321b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,,,,,,,,,,,,,,
biotech,1,327,3,biotech_main,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_327_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_327_control/hood_sash,,,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_327_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,,,,,,,,,,,,,,
