2019-091-6129,6129,53123,"Hood,Fume, 2019-G01C-1", G01C,Hood Room G01C,OPERATING
2019-091-6130,6130,53124,"Hood,Fume, 2019-G01C-2", G01C,Hood Room G01C,OPERATING
2019-091-6131,6131,53125,"Hood,Fume, 2019-G01C-3", G01C,Hood Room G01C,OPERATING
2019-091-6132,6132,53126,"Hood,Fume, 2019-G01D-1", G01D,Hood Room G01D,OPERATING
2019-091-6133,6133,53127,"Hood,Fume, 2019-G01D-2", G01D,Hood Room G01D,OPERATING
2019-091-6134,6134,53128,"Hood,Fume, 2019-G01D-3", G01D,Hood Room G01D,OPERATING
2019-091-6135,6135,53129,"Hood,Fume, 2019-G01E-1", G01E,Hood Room G01E,OPERATING
2019-091-6136,6136,53130,"Hood,Fume, 2019-G01E-2", G01E,Hood Room G01E,OPERATING
2019-091-6137,6137,53131,"Hood,Fume, 2019-G01E-3", G01E,Hood Room G01E,OPERATING
2019-091-6138,6138,53132,"Hood,Fume, 2019-G01H", G01H,Hood Room G01H,OPERATING
2019-091-6139,6139,53133,"Hood,Fume, 2019-G16-1", G16,Hood Room G16,OPERATING
2019-091-6140,6140,53134,"Hood,Fume, 2019-G16-2", G16,Hood Room G16,OPERATING
2019-091-6141,6141,53135,"Hood,Fume, 2019-G24-1", G24,Hood Room G24,OPERATING
2019-091-6142,6142,53136,"Hood,Fume, 2019-G24-2", G24,Hood Room G24,OPERATING
2019-091-6143,6143,53137,"Hood,Fume, 2019-G32", G32,Hood Room G32,OPERATING
2019-091-6147,6147,53141,"Hood,Fume, 2019-G46-1", G46,Hood Room G46,OPERATING
2019-091-6148,6148,53142,"Hood,Fume, 2019-G46-2", G46,Hood Room G46,OPERATING
2019-091-6149,6149,53143,"Hood,Fume, 2019-G46-3", G46,Hood Room G46,OPERATING
2019-091-6154,6154,52928,"Hood,Fume, 2019-201E-3", 201E,Hood Room 201E,OPERATING
2019-091-6156,6156,55875,"Hood,Fume, 2019-112A", 112A,Room 112A,OPERATING
2019-091-6157,6157,55837,"Hood,Fume, 2019-317-1", 317,Room 317,OPERATING
2019-091-6158,6158,55842,"Hood,Fume, 2019-317-2", 317,Room 317,OPERATING
2019-091-6159,6159,55843,"Hood,Fume, 2019-317-3", 317,Room 317,OPERATING
2019-091-6160,6160,55844,"Hood,Fume, 2019-317-4", 317,Room 317,OPERATING
2019-091-6161,6161,55845,"Hood,Fume, 2019-317-5", 317,Room 317,OPERATING
2019-091-6162,6162,55846,"Hood,Fume, 2019-317-6", 317,Room 317,OPERATING
2019-091-6163,6163,55847,"Hood,Fume, 2019-324-3", 324,Room 324,OPERATING
2019-091-6164,6164,55848,"Hood,Fume, 2019-324-4", 324,Room 324,OPERATING
2019-091-6165,6165,55849,"Hood,Fume, 2019-324-5", 324,Room 324,OPERATING
2019-091-6166,6166,55850,"Hood,Fume, 2019-324-6", 324,Room 324,OPERATING
2019-091-6167,6167,55851,"Hood,Fume, 2019-324-01", 324,Room 324,OPERATING
2019-091-6168,6168,55852,"Hood,Fume, 2019-324-2", 324,Room 324,OPERATING
2019-091-6169,6169,55853,"Hood,Fume, 2019-338A-1", 338A,Room 338A,HIBERNATION
2019-091-6170,6170,55854,"Hood,Fume, 2019-338A-2", 338A,Room 338A,HIBERNATION
2019-091-6171,6171,55855,"Hood,Fume, 2019-338A-3", 338A,Room 338A,HIBERNATION
2019-091-6172,6172,55856,"Hood,Fume, 2019-338A-4", 338A,Room 338A,HIBERNATION
2019-091-6173,6173,55857,"Hood,Fume, 2019-388A-5", 338A,Room 338A,HIBERNATION
2019-091-6174,6174,55858,"Hood,Fume, 2019-338A-6", 338A,Room 338A,HIBERNATION
2019-091-6175,6175,55859,"Hood,Fume, 2019-340B-4", 340B,Room 340B,HIBERNATION
2019-091-6176,6176,55860,"Hood,Fume, 2019-340B-3", 340B,Room 340B,HIBERNATION
2019-091-6177,6177,55861,"Hood,Fume, 2019-340B-2", 340B,Room 340B,HIBERNATION
2019-091-6178,6178,55862,"Hood,Fume, 2019-340B-1", 340B,Room 340B,HIBERNATION
2019-091-6179,6179,55871,"Hood,Fume, 2019-344A-3", 344A,Room 344A,HIBERNATION
2019-091-6180,6180,55872,"Hood,Fume, 2019-344A-1", 344A,Lab 344A,HIBERNATION
2019-091-6181,6181,55877,"Hood,Fume, 2019-344A-2", 344A,Room 344A,HIBERNATION
2019-091-6182,6182,72998,"Hood,Fume, 2019-G46-1, Chemical", G46,Room G64,OPERATING
2019-091-6185,6185,73001,"Hood,Fume, 2019-G54-1, Chemical", G54,Room G54,OPERATING
2019-091-6186,6186,73002,"Hood,Fume, 2019-G54-2, Chemical", G54,Room G54,OPERATING
2019-091-6187,6187,73003,"Hood,Fume, 2019-G54-3, Chemical", G54,Room G54,OPERATING
2019-091-6188,6188,73004,"Hood,Fume, 2019-G37-1, Chemical", G37,Room G37,OPERATING
2019-091-6189,6189,73005,"Hood,Fume, 2019-G37-2, Chemical", G37,Room G37,HIBERNATION
2019-091-6190,6190,73006,"Hood,Fume, 2019-G37-3, Chemical", G37,Room G37,OPERATING
2019-091-6191,6191,73007,"Hood,Fume, 2019-G58-1, Chemical", G58,Room G58,OPERATING
2019-091-6192,6192,73008,"Hood,Fume, 2019-G58-2, Chemical", G58,Room G58,OPERATING
2019-091-6193,6193,118325,"Hood,Fume, 2019-346A-1 80 FPM, Chemical",346A,346A Baker,OPERATING
2019-091-6194,6194,118326,"Hood,Fume, 2019-346A-2 80 FPM, Chemical",346A,346A Baker,OPERATING
2019-091-6195,6195,118327,"Hood,Fume, 2019-346A-3 80 FPM, Chemical",346A,346A Baker,OPERATING
2019-091-6196,6196,118328,"Hood,Fume, 2019-346A-4 80 FPM, Chemical",346A,346A Baker,OPERATING
2019-091-6197,6197,118329,"Hood,Fume, 2019-346A-5 80 FPM, Chemical",346A,346A Baker,OPERATING
2019-091-6198,6198,118330,"Hood,Fume, 2019-346A-6 80 FPM, Chemical",346A,346A Baker,OPERATING
2019-091-6199,6199,118331,"Hood,Fume, 2019-350A-1 80 FPM, Chemical",350A,350A Baker,OPERATING
2019-091-6200,6200,118332,"Hood,Fume, 2019-350A-2 80 FPM, Chemical",350A,350A Baker,OPERATING
2019-091-6201,6201,118333,"Hood,Fume, 2019-350A-3 80 FPM, Chemical",350A,350A Baker,OPERATING
2019-091-6202,6202,118334,"Hood,Fume, 2019-350A-4 80 FPM, Chemical",350A,350A Baker,OPERATING
2019-091-6203,6203,118335,"Hood,Fume, 2019-350A-5 80 FPM, Chemical",350A,350A Baker,OPERATING
2019-091-6204,6204,118336,"Hood,Fume, 2019-350A-6 80 FPM, Chemical",350A,350A Baker,OPERATING
2019-091-6205,6205,118337,"Hood,Fume, 2019-352-6 80 FPM, Chemical",352,352 Baker,OPERATING
2019-091-6206,6206,118338,"Hood,Fume, 2019-355-2 80 FPM, Chemical",355,355 Baker,OPERATING
2019-091-6207,6207,129023,"Hood,Fume, 2019-252-1",252,252,HIBERNATION
2019-091-6208,6208,129024,"Hood,Fume, 2019-252-2",252,252,HIBERNATION
2019-091-6209,6209,129025,"Hood,Fume, 2019-252-3",252,252,HIBERNATION
2019-091-6210,6210,129026,"Hood,Fume, 2019-252-4",252,252,HIBERNATION
2019-091-6211,6211,129027,"Hood,Fume, 2019-252-5",252,252,HIBERNATION
2019-091-6212,6212,129028,"Hood,Fume, 2019-252-6",252,252,HIBERNATION
2019-091-6213,6213,129029,"Hood,Fume, 2019-252-7",252,252,HIBERNATION
2019-091-6214,6214,129030,"Hood,Fume, 2019-252-8",252,252,HIBERNATION
2019-091-6215,6215,129031,"Hood,Fume, 2019-252-9",252,252,HIBERNATION
2019-091-6216,6216,129032,"Hood,Fume, 2019-252-10",252,252,HIBERNATION
2019-091-6217,6217,129033,"Hood,Fume, 2019-252-11",252,252,HIBERNATION
2019-091-6218,6218,129034,"Hood,Fume, 2019-252-12",252,252,HIBERNATION
2019-091-6219,6219,129035,"Hood,Fume, 2019-258",258,258,HIBERNATION
