Point List,,,,,,,
Location:,Cornell University / Biotech Server / Biotech / Biotech 4th Floor,,,,,,
cols_too_big();,,,,,,,
report_progress_step(),,,,,,,
report_progress_step(),,,,,,,
report_progress_step(),,,,,,,
Location,Control Program,Name,Type,Object ID,Device ID,Object Name,Path
/Cornell University/Biotech Server/Biotech/Biotech 4th Floor/12-2024 Control Upgrade,,,,,,,
,Biotech Lab 445A HVAC,,,,,,
,,Supply Air Valve 1 Flow,BBV,BV:21,DEV:49353,sav-1_flow_alarm_bv_1,#biotech_lab_445a_hvac/sav-1_flow_alarm_bv
,,Vacancy,BBV,BV:22,DEV:49353,vacancy_1,#biotech_lab_445a_hvac/vacancy
,,point name,BMSV,MSV:1,DEV:49353,m381_1,#biotech_lab_445a_hvac/m381
,,EAV-1_FEEDBACK,BALM,BV:23,DEV:49353,eav-1_feedback_alm_1,#biotech_lab_445a_hvac/eav-1_feedback_alm
,,SAV-1_FEEDBACK,BALM,BV:24,DEV:49353,sav-1_feedback_1,#biotech_lab_445a_hvac/sav-1_feedback
,,SAV-1_SAT_ERROR_ALRM,BALM,BV:25,DEV:49353,sav-1_sat_error_alrm_1,#biotech_lab_445a_hvac/sav-1_sat_error_alrm
,,SAV-1 Temp Alarm,BALM,BV:26,DEV:49353,sav-1_temp_alarm_1,#biotech_lab_445a_hvac/sav-1_temp_alarm
,,SUPPLY_FLOW,BALM,BV:27,DEV:49353,supply_flow_1,#biotech_lab_445a_hvac/supply_flow
,,Zone Temp Alarm,BALM,BV:28,DEV:49353,ztmp_alrm_1,#biotech_lab_445a_hvac/ztmp_alrm
,,ZS Alarm,BALM,BV:29,DEV:49353,zs_alrm_1,#biotech_lab_445a_hvac/zs_alrm
,,AHU Fan Status,BNI2,,DEV:49353,,#biotech_lab_445a_hvac/ahu_status
,,AHU Static Pressure,ANI,,DEV:49353,,#biotech_lab_445a_hvac/ahu_static
,,Chilled Water,ANI,,DEV:49353,,#biotech_lab_445a_hvac/chilled_load_shed
,,EAHU Fan Status,BNI2,,DEV:49353,,#biotech_lab_445a_hvac/eahu_status
,,EAHU Suction Pressure,ANI,,DEV:49353,,#biotech_lab_445a_hvac/eahu_suction
,,Emergency Power,BNI,,DEV:49353,,#biotech_lab_445a_hvac/em_power
,,EM Shutdown,BNI,,DEV:49353,,#biotech_lab_445a_hvac/em_shutdown
,,Entering Air Temp,ANI,,DEV:49353,,#biotech_lab_445a_hvac/ahu_dat
,,HW System Status,BNI2,,DEV:49353,,#biotech_lab_445a_hvac/hw_system_status
,,OA Humidity,ANI,,DEV:49353,,#biotech_lab_445a_hvac/oah
,,OA Temp,ANI,,DEV:49353,,#biotech_lab_445a_hvac/oat
