Point List,,,,,,,
Location:,Cornell University / Biotech Server / Biotech / Biotech Ground Floor,,,,,,
cols_too_big();,,,,,,,
report_progress_step(),,,,,,,
report_progress_step(),,,,,,,
Location,Control Program,Name,Type,Object ID,Device ID,Object Name,Path
/Cornell University/Biotech Server/Biotech/Biotech Ground Floor/Ground Floor Fume Hood Lab Spaces/Lab G49/G49A,,,,,,,
,Lab G49,,,,,,
,,Setpoint / Cooling Unoccupied Setpoint,BAV,AV:3,DEV:1018363,unoccupied_cool_setpoint_1,#equipment_rm_g49a/setpt/unoccupied_cool_setpoint
,,Setpoint / Heating Unoccupied Setpoint,BAV,AV:4,DEV:1018363,unoccupied_heat_setpoint_1,#equipment_rm_g49a/setpt/unoccupied_heat_setpoint
,,Setpoint / Cooling Setpoint Adjust,BAV,AV:5,DEV:1018363,cool_setpoint_adjust_1,#equipment_rm_g49a/setpt/cool_setpoint_adjust
,,Setpoint / Heating Setpoint Adjust,BAV,AV:6,DEV:1018363,heat_setpoint_adjust_1,#equipment_rm_g49a/setpt/heat_setpoint_adjust
,,Setpoint / Effective Cooling Setpoint,BAV,AV:7,DEV:1018363,effective_cool_setpoint_1,#equipment_rm_g49a/setpt/effective_cool_setpoint
,,Setpoint / Effective Heating Setpoint,BAV,AV:8,DEV:1018363,effective_heat_setpoint_1,#equipment_rm_g49a/setpt/effective_heat_setpoint
,,Supply Air Temp,BAI,AI:1,DEV:1018363,sat_1,#equipment_rm_g49a/sat
,,Supply Air Valve Flow Feedback,BAI,AI:2,DEV:1018363,sav_flow_fbk_1,#equipment_rm_g49a/sav_flow_fbk
,,Zone Temp,ASVI,AI:3,DEV:1018363,zone_temp_1,#equipment_rm_g49a/zone_temp
,,Occupancy Sensor,BBI,BI:1,DEV:1018363,occ1_1,#equipment_rm_g49a/occ1
,,SAV DP Alarm,BBI,BI:2,DEV:1018363,sav_dp_alarm_1,#equipment_rm_g49a/sav_dp_alarm
,,Reheat Valve,BAO,AO:1,DEV:1018363,hwv_1,#equipment_rm_g49a/hwv
,,Supply Air Valve Flow Setpoint,BAO,AO:2,DEV:1018363,sav_flowsp_1,#equipment_rm_g49a/sav_flowsp
,,% Furniture,BAV,AV:9,DEV:1018363,furniture_percent_1,#equipment_rm_g49a/furniture_percent
,,Air Changes per Hour,BAV,AV:11,DEV:1018363,ach_1,#equipment_rm_g49a/ach
,,Ceiling Height,BAV,AV:12,DEV:1018363,clg_ht_1,#equipment_rm_g49a/clg_ht
,,chw_load_shed,BAV,AV:10,DEV:1018363,m344_1,#equipment_rm_g49a/m344
,,Cool Request,BAV,AV:14,DEV:1018363,cool_request_1,#equipment_rm_g49a/cool_request
,,Cubic ft of Furniture,BAV,AV:13,DEV:1018363,furniture_ft3_1,#equipment_rm_g49a/furniture_ft3
,,Heat Request,BAV,AV:19,DEV:1018363,heat_request_1,#equipment_rm_g49a/heat_request
,,Max Cooling Flow,BAV,AV:15,DEV:1018363,exh_max_flow_1,#equipment_rm_g49a/exh_max_flow
,,Minimum Occupied Flow,BAV,AV:16,DEV:1018363,sup_occ_min_flow_1,#equipment_rm_g49a/sup_occ_min_flow
,,Minimum Occupied Flow,BAV,AV:17,DEV:1018363,sup_unocc_min_flow_1,#equipment_rm_g49a/sup_unocc_min_flow
,,OA Temperature,BAV,AV:18,DEV:1018363,oa_temp_mon_1,#equipment_rm_g49a/oa_temp_mon
,,point name,BAV,AV:20,DEV:1018363,m228_1,#equipment_rm_g49a/m228
,,point name,BAV,AV:21,DEV:1018363,m339_1,#equipment_rm_g49a/m339
,,Reheat valve Position,BAV,AV:22,DEV:1018363,hwv_pos_1,#equipment_rm_g49a/hwv_pos
,,Room Square Footage,BAV,AV:23,DEV:1018363,room_sqf_1,#equipment_rm_g49a/room_sqf
,,Run Request,BAV,AV:25,DEV:1018363,sys_run_req_1,#equipment_rm_g49a/sys_run_req
,,steam_load_shed,BAV,AV:27,DEV:1018363,m361_1,#equipment_rm_g49a/m361
,,Supply Air Temperature,BAV,AV:24,DEV:1018363,sa_temp_1,#equipment_rm_g49a/sa_temp
,,Supply Air Temp Setpoint,BAV,AV:26,DEV:1018363,sat_stpt_1,#equipment_rm_g49a/sat_stpt
,,Supply Air Valve Flow,BAV,AV:28,DEV:1018363,sflow_1,#equipment_rm_g49a/sflow
,,Supply Air Valve Flow Setpoint,BAV,AV:29,DEV:1018363,sflow_sp_1,#equipment_rm_g49a/sflow_sp
,,Supply Flow Stpt Deviation,BAV,AV:30,DEV:1018363,sup_flo_stpt_dev_1,#equipment_rm_g49a/sup_flo_stpt_dev
,,Supply Setpoint,BAV,AV:31,DEV:1018363,sup_setpt_1,#equipment_rm_g49a/sup_setpt
,,Supply Setpt,BAV,AV:32,DEV:1018363,sply_setpt_1,#equipment_rm_g49a/sply_setpt
,,Total Supply-Exhaust Flow Offset,BAV,AV:33,DEV:1018363,flow_offset_1,#equipment_rm_g49a/flow_offset
,,Zone Temperature,BAV,AV:34,DEV:1018363,zone_temp_av_1,#equipment_rm_g49a/zone_temp_av
,,Occupancy,BBV,BV:1,DEV:1018363,occ_status_1,#equipment_rm_g49a/occ_status
,,point name,BBV,BV:11,DEV:1018363,m457_1,#equipment_rm_g49a/m457
,,point name,BBV,BV:2,DEV:1018363,m541_1,#equipment_rm_g49a/m541
,,schedule,BBV,BV:12,DEV:1018363,schedule_1,#equipment_rm_g49a/schedule
,,Supply Air Valve Flow,BBV,BV:3,DEV:1018363,savflow_1,#equipment_rm_g49a/savflow
,,Phoenix Pressure,BMSV,MSV:2,DEV:1018363,phx_press_1,#equipment_rm_g49a/phx_press
,,point name,BMSV,MSV:1,DEV:1018363,m381_1,#equipment_rm_g49a/m381
,,Supply Valve Size,BMSV,MSV:3,DEV:1018363,sup_vlv_size_1,#equipment_rm_g49a/sup_vlv_size
,,Input Micro-Block Error,BALM,BV:4,DEV:1018363,m856_1,#equipment_rm_g49a/m856
,,Output Micro-Block Error,BALM,BV:5,DEV:1018363,m857_1,#equipment_rm_g49a/m857
,,Phx Supply Air Valve Flow Alarm,BALM,BV:6,DEV:1018363,savflow_alarm_1,#equipment_rm_g49a/savflow_alarm
,,Point Locked Alarm,BALM,BV:7,DEV:1018363,m858_1,#equipment_rm_g49a/m858
,,Supply Air Valve Feedback,BALM,BV:8,DEV:1018363,sav_fbk_alm_1,#equipment_rm_g49a/sav_fbk_alm
,,System in Balance Mode,BALM,BV:9,DEV:1018363,m327_1,#equipment_rm_g49a/m327
,,Zone Temp Alarm,BALM,BV:10,DEV:1018363,ZoneTemp.Alarm,#equipment_rm_g49a/ztmp_alrm
,,AHU Fan Status,BNI2,,DEV:1018363,,#equipment_rm_g49a/ahu_status
,,AHU Static Pressure,ANI,,DEV:1018363,,#equipment_rm_g49a/ahu_static
,,Chilled Water,ANI,,DEV:1018363,,#equipment_rm_g49a/chilled_load_shed
,,Entering Air Temp,ANI,,DEV:1018363,,#equipment_rm_g49a/ahu_dat
,,HW System Status,BNI2,,DEV:1018363,,#equipment_rm_g49a/hw_system_status
,,OA Humidity,ANI,,DEV:1018363,,#equipment_rm_g49a/oah
