building,hood,lab,floor,server,flow_sensor,sash_position_sensor,hood_occ_sensor,room_occ_sensor,internal_temp_sensor,external_temp_sensor
biotech,1,409B,4,biotech_main,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_409b_control/hoodvalve_flow,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_409b_control/hood_sash,,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_409b_control/occ,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_409b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
biotech,1,417,4,biotech_main,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_417_control/hoodvalve_flow,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_417_control/hood_sash,,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_417_control/occ,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_417_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
biotech,1,417B,4,biotech_main,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_417b_control/hoodvalve_flow,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_417b_control/hood_sash,,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_417b_control/occ,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_417b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
biotech,1,418,4,biotech_main,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_418_control/hoodvalve_flow,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_418_control/hood_sash,,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_418_control/occ,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_418_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
biotech,1,421,4,biotech_main,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_421_control/hoodvalve_flow,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_421_control/hood_sash,,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_421_control/occ,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_421_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
biotech,1,421B,4,biotech_main,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_421b_control/hoodvalve_flow,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_421b_control/hood_sash,,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_421b_control/occ,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_421b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
biotech,1,427B,4,biotech_main,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_427b_control/hoodvalve_flow,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_427b_control/hood_sash,,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_427b_control/occ,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_427b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
biotech,1,433,4,biotech_main,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_433_control/hoodvalve_flow,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_433_control/hood_sash,,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_433_control/occ,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_433_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
biotech,1,433B,4,biotech_main,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_433b_control/hoodvalve_flow,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_433b_control/hood_sash,,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_433b_control/occ,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_433b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
biotech,1,441,4,biotech_main,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_441_control/hoodvalve_flow,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_441_control/hood_sash,,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_441_control/occ,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_441_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
biotech,1,441B,4,biotech_main,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_441b_control/hoodvalve_flow,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_441b_control/hood_sash,,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_441b_control/occ,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_441b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
biotech,1,445,4,biotech_main,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_445_control/hoodvalve_flow,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_445_control/hood_sash,,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_445_control/occ,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_445_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
biotech,1,445B,4,biotech_main,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_445b_control/hoodvalve_flow,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_445b_control/hood_sash,,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_445b_control/occ,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_445b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
biotech,1,453,4,biotech_main,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_453_control/hoodvalve_flow,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_453_control/hood_sash,,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_453_control/occ,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_453_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
biotech,1,453B,4,biotech_main,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_453b_control/hoodvalve_flow,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_453b_control/hood_sash,,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_453b_control/occ,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_453b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
biotech,1,457,4,biotech_main,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_457_control/hoodvalve_flow,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_457_control/hood_sash,,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_457_control/occ,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_457_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
biotech,1,457B,4,biotech_main,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_457b_control/hoodvalve_flow,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_457b_control/hood_sash,,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_457b_control/occ,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_457b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
