,Unnamed: 0,Lab,Floor,Server,Hood,Sash,Occupancy,Internal Temp,External Temp,FloorNum,Energy Occupied,Energy Unoccupied,Sash Open Time Occupied,Sash Open Time Unoccupied
20,20,257b,2nd,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,2,Biotech.Floor_2.Lab_257b.Hood_1.energy.occ,Biotech.Floor_2.Lab_257b.Hood_1.energy.unocc,Biotech.Floor_2.Lab_257b.Hood_1.sashOpenTime.occ,Biotech.Floor_2.Lab_257b.Hood_1.sashOpenTime.unocc
21,21,260,2nd,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,2,Biotech.Floor_2.Lab_260.Hood_1.energy.occ,Biotech.Floor_2.Lab_260.Hood_1.energy.unocc,Biotech.Floor_2.Lab_260.Hood_1.sashOpenTime.occ,Biotech.Floor_2.Lab_260.Hood_1.sashOpenTime.unocc
22,22,260b,2nd,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,2,Biotech.Floor_2.Lab_260b.Hood_1.energy.occ,Biotech.Floor_2.Lab_260b.Hood_1.energy.unocc,Biotech.Floor_2.Lab_260b.Hood_1.sashOpenTime.occ,Biotech.Floor_2.Lab_260b.Hood_1.sashOpenTime.unocc
23,23,267,2nd,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,2,Biotech.Floor_2.Lab_267.Hood_1.energy.occ,Biotech.Floor_2.Lab_267.Hood_1.energy.unocc,Biotech.Floor_2.Lab_267.Hood_1.sashOpenTime.occ,Biotech.Floor_2.Lab_267.Hood_1.sashOpenTime.unocc
24,24,267b,2nd,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_267b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,2,Biotech.Floor_2.Lab_267b.Hood_1.energy.occ,Biotech.Floor_2.Lab_267b.Hood_1.energy.unocc,Biotech.Floor_2.Lab_267b.Hood_1.sashOpenTime.occ,Biotech.Floor_2.Lab_267b.Hood_1.sashOpenTime.unocc
25,25,303,3rd,biotech_main,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_303_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_303_control/hood_sash,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_303_control/occ,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_303_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,3,Biotech.Floor_3.Lab_303.Hood_1.energy.occ,Biotech.Floor_3.Lab_303.Hood_1.energy.unocc,Biotech.Floor_3.Lab_303.Hood_1.sashOpenTime.occ,Biotech.Floor_3.Lab_303.Hood_1.sashOpenTime.unocc
26,26,303b,3rd,biotech_main,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_303b_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_303b_control/hood_sash,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_303b_control/occ,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_303b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,3,Biotech.Floor_3.Lab_303b.Hood_1.energy.occ,Biotech.Floor_3.Lab_303b.Hood_1.energy.unocc,Biotech.Floor_3.Lab_303b.Hood_1.sashOpenTime.occ,Biotech.Floor_3.Lab_303b.Hood_1.sashOpenTime.unocc
27,27,309,3rd,biotech_main,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_309_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_309_control/hood_sash,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_309_control/occ,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_309_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,3,Biotech.Floor_3.Lab_309.Hood_1.energy.occ,Biotech.Floor_3.Lab_309.Hood_1.energy.unocc,Biotech.Floor_3.Lab_309.Hood_1.sashOpenTime.occ,Biotech.Floor_3.Lab_309.Hood_1.sashOpenTime.unocc
28,28,309b,3rd,biotech_main,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_309b_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_309b_control/hood_sash,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_309b_control/occ,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_309b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,3,Biotech.Floor_3.Lab_309b.Hood_1.energy.occ,Biotech.Floor_3.Lab_309b.Hood_1.energy.unocc,Biotech.Floor_3.Lab_309b.Hood_1.sashOpenTime.occ,Biotech.Floor_3.Lab_309b.Hood_1.sashOpenTime.unocc
29,29,317,3rd,biotech_main,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_317_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_317_control/hood_sash,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_317_control/occ,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_317_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,3,Biotech.Floor_3.Lab_317.Hood_1.energy.occ,Biotech.Floor_3.Lab_317.Hood_1.energy.unocc,Biotech.Floor_3.Lab_317.Hood_1.sashOpenTime.occ,Biotech.Floor_3.Lab_317.Hood_1.sashOpenTime.unocc
