C1,Room,Pointname,Acronym,Point
Point List,,,,
Location:,Cornell University / Biotech Server / Biotech,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
Location,Control Program,Name,Type,Path
/Cornell University/Biotech Server/Biotech/Biotech Building Performance/Airflow Performance,,,,
,"Biotech ACS-1, 2, and 3 Performance",,,
,,Setpoint / Heating Unoccupied Setpoint,BAV,#biotech_rm_130/setpt/unoccupied_heat_setpoint
,,Setpoint / Cooling Setpoint Adjust,BAV,#biotech_rm_130/setpt/cool_setpoint_adjust
,,Setpoint / Heating Setpoint Adjust,BAV,#biotech_rm_130/setpt/heat_setpoint_adjust
,,Setpoint / Effective Cooling Setpoint,BAV,#biotech_rm_130/setpt/effective_cool_setpoint
,,Setpoint / Effective Heating Setpoint,BAV,#biotech_rm_130/setpt/effective_heat_setpoint
,,Discharge Air Temp,BAI,#biotech_rm_130/dat
,,Zone Temp,ASVI,#biotech_rm_130/zone_temp
,,Reheat Valve,BAO,#biotech_rm_130/hw_valve
,,FTR Valve,BFM,#biotech_rm_130/ftr_valve
,,FTR Valve / open,BFM,#biotech_rm_130/ftr_valve/open
,,FTR Valve / close,BFM,#biotech_rm_130/ftr_valve/close
,,Active Zone,BAV,#biotech_rm_130/active_zones
,,chw_load_shed,BAV,#biotech_rm_130/m344
,,Color,BAV,#biotech_rm_130/color_av
,,Cooling Percent,BAV,#biotech_rm_130/cooling_percent_av
,,Cooling Setpoint,BAV,#biotech_rm_130/cooling_setpoint_av
,,Cool Request,BAV,#biotech_rm_130/cool_request
,,EI Weighting,BAV,#biotech_rm_130/ei_weight
,,Environmental Index Count,BAV,#biotech_rm_130/item_count
,,Heat DP Request,BAV,#biotech_rm_130/heat_dp_request
,,Heating Percent,BAV,#biotech_rm_130/heating_percent_av
,,Heating Setpoint,BAV,#biotech_rm_130/heating_setpoint_av
,,Heat Request,BAV,#biotech_rm_130/heat_request
,,Metric,BAV,#biotech_rm_130/metric_conv
,,OA Humidity,BAV,#biotech_rm_130/oa_humidity
,,OA Temperature,BAV,#biotech_rm_130/oa_temperature
,,point name,BAV,#biotech_rm_130/m339
,,Run Request,BAV,#biotech_rm_130/sys_run_req
,,Setpoint Adjust,BAV,#biotech_rm_130/sp_adj_av
,,steam_load_shed,BAV,#biotech_rm_130/m361
,,Supply Damper Position,BAV,#biotech_rm_130/sdmpr_pos
,,Supply Flow,BAV,#biotech_rm_130/sflow
,,Supply Flow Setpoint,BAV,#biotech_rm_130/sflow_sp
,,Supply Flow Stpt Deviation,BAV,#biotech_rm_130/sup_flo_stpt_dev
,,Zone EI Time Satisfied,BAV,#biotech_rm_130/zn_ei_time_sat
,,Zone EI Total Weight,BAV,#biotech_rm_130/total_weight
,,Zone Environmental Index,BAV,#biotech_rm_130/zn_enviro_indx
,,Zone Temp,BAV,#biotech_rm_130/zone_temp_av
,,Zone Weighted Environmental Index,BAV,#biotech_rm_130/enviro_windx
,,Airflow Request,BBV,#biotech_rm_130/air_request
,,EM Power DAT Alarm Enable,BBV,#biotech_rm_130/em_dat_enbl
,,EM Power Flow Alarm Enable,BBV,#biotech_rm_130/em_flow_enbl
,,EM Power Phoenix Alarm Enable,BBV,#biotech_rm_130/em_phx_enbl
,,EM Power Zone Temp Alarm Enable,BBV,#biotech_rm_130/em_zone_enbl
,,General Maintenance,BBV,#biotech_rm_130/general_maintenance
,,General Zone Alarm,BBV,#biotech_rm_130/general_zone_alarm
,,Local Occupied,BBV,#biotech_rm_130/local_occupied_bv
,,point name,BBV,#biotech_rm_130/m337
,,point name,BBV,#biotech_rm_130/m457
,,schedule,BBV,#biotech_rm_130/schedule
,,Scheduled Occupied,BBV,#biotech_rm_130/scheduled_occupied_bv
,,Supply VAV,BBV,#biotech_rm_130/svav-1_id
,,point name,BMSV,#biotech_rm_130/m381
,,DAT_ERROR_ALRM,BALM,#biotech_rm_130/dat_error_alrm
,,Supply Flow Alarm,BALM,#biotech_rm_130/supply_flo_alrm
,,Zone Temp Alarm,BALM,#biotech_rm_130/ztmp_alrm
,,ZS Alarm,BALM,#biotech_rm_130/zs_alrm
,,AHU Fan Status,BNI2,#biotech_rm_130/ahu_status
,,AHU Static Pressure,ANI,#biotech_rm_130/ahu_static
,,Chilled Water,ANI,#biotech_rm_130/chilled_load_shed
,,Emergency Power,BNI,#biotech_rm_130/em_power
,,Entering Air Temp,ANI,#biotech_rm_130/ahu_dat
,,OA Humidity,ANI,#biotech_rm_130/oah
,,OA Temp,ANI,#biotech_rm_130/oat
,,Setpt Adjust,ANI,#biotech_rm_130/setpt_adj
,,Steam,ANI,#biotech_rm_130/steam_load_shed
,Rm 130A,,,
,,Supply Flow Control,BAF,#biotech_rm_130a/supply_airflow
,,Supply Flow Control / Flow Input,BAI,#biotech_rm_130a/supply_airflow/flow_input
,,Setpoint,BSPTCS,#biotech_rm_130a/setpt
,,Setpoint / Cooling Occupied Setpoint,BAV,#biotech_rm_130a/setpt/occupied_cool_setpoint
,,Setpoint / Heating Occupied Setpoint,BAV,#biotech_rm_130a/setpt/occupied_heat_setpoint
,,Setpoint / Cooling Unoccupied Setpoint,BAV,#biotech_rm_130a/setpt/unoccupied_cool_setpoint
,,Setpoint / Heating Unoccupied Setpoint,BAV,#biotech_rm_130a/setpt/unoccupied_heat_setpoint
,,Setpoint / Cooling Setpoint Adjust,BAV,#biotech_rm_130a/setpt/cool_setpoint_adjust
,,Setpoint / Heating Setpoint Adjust,BAV,#biotech_rm_130a/setpt/heat_setpoint_adjust
,,Setpoint / Effective Cooling Setpoint,BAV,#biotech_rm_130a/setpt/effective_cool_setpoint
,,Setpoint / Effective Heating Setpoint,BAV,#biotech_rm_130a/setpt/effective_heat_setpoint
,,Discharge Air Temp,BAI,#biotech_rm_130a/dat
,,Zone Temp,ASVI,#biotech_rm_130a/zone_temp
,,Reheat Valve,BAO,#biotech_rm_130a/hw_valve
,,FTR Valve,BFM,#biotech_rm_130a/ftr_valve
,,FTR Valve / open,BFM,#biotech_rm_130a/ftr_valve/open
,,FTR Valve / close,BFM,#biotech_rm_130a/ftr_valve/close
,,Active Zone,BAV,#biotech_rm_130a/active_zones
,,chw_load_shed,BAV,#biotech_rm_130a/m344
,,Color,BAV,#biotech_rm_130a/color_av
,,Cooling Percent,BAV,#biotech_rm_130a/cooling_percent_av
,,Cooling Setpoint,BAV,#biotech_rm_130a/cooling_setpoint_av
,,Cool Request,BAV,#biotech_rm_130a/cool_request
,,EI Weighting,BAV,#biotech_rm_130a/ei_weight
,,Environmental Index Count,BAV,#biotech_rm_130a/item_count
,,Heat DP Request,BAV,#biotech_rm_130a/heat_dp_request
,,Heating Percent,BAV,#biotech_rm_130a/heating_percent_av
,,Heating Setpoint,BAV,#biotech_rm_130a/heating_setpoint_av
,,Heat Request,BAV,#biotech_rm_130a/heat_request
,,Metric,BAV,#biotech_rm_130a/metric_conv
,,OA Humidity,BAV,#biotech_rm_130a/oa_humidity
,,OA Temperature,BAV,#biotech_rm_130a/oa_temperature
,,point name,BAV,#biotech_rm_130a/m339
,,Run Request,BAV,#biotech_rm_130a/sys_run_req
,,Setpoint Adjust,BAV,#biotech_rm_130a/sp_adj_av
,,steam_load_shed,BAV,#biotech_rm_130a/m361
,,Supply Damper Position,BAV,#biotech_rm_130a/sdmpr_pos
,,Supply Flow,BAV,#biotech_rm_130a/sflow
,,Supply Flow Setpoint,BAV,#biotech_rm_130a/sflow_sp
,,Supply Flow Stpt Deviation,BAV,#biotech_rm_130a/sup_flo_stpt_dev
,,Zone EI Time Satisfied,BAV,#biotech_rm_130a/zn_ei_time_sat
,,Zone EI Total Weight,BAV,#biotech_rm_130a/total_weight
,,Zone Environmental Index,BAV,#biotech_rm_130a/zn_enviro_indx
,,Zone Temp,BAV,#biotech_rm_130a/zone_temp_av
,,Zone Weighted Environmental Index,BAV,#biotech_rm_130a/enviro_windx
,,Airflow Request,BBV,#biotech_rm_130a/air_request
,,EM Power DAT Alarm Enable,BBV,#biotech_rm_130a/em_dat_enbl
,,EM Power Flow Alarm Enable,BBV,#biotech_rm_130a/em_flow_enbl
,,EM Power Phoenix Alarm Enable,BBV,#biotech_rm_130a/em_phx_enbl
,,EM Power Zone Temp Alarm Enable,BBV,#biotech_rm_130a/em_zone_enbl
,,General Maintenance,BBV,#biotech_rm_130a/general_maintenance
,,General Zone Alarm,BBV,#biotech_rm_130a/general_zone_alarm
,,Local Occupied,BBV,#biotech_rm_130a/local_occupied_bv
,,point name,BBV,#biotech_rm_130a/m337
,,point name,BBV,#biotech_rm_130a/m457
,,schedule,BBV,#biotech_rm_130a/schedule
,,Scheduled Occupied,BBV,#biotech_rm_130a/scheduled_occupied_bv
,,Supply VAV,BBV,#biotech_rm_130a/svav-1_id
,,point name,BMSV,#biotech_rm_130a/m381
,,DAT_ERROR_ALRM,BALM,#biotech_rm_130a/dat_error_alrm
,,Supply Flow Alarm,BALM,#biotech_rm_130a/supply_flo_alrm
,,Zone Temp Alarm,BALM,#biotech_rm_130a/ztmp_alrm
,,ZS Alarm,BALM,#biotech_rm_130a/zs_alrm
,,AHU Fan Status,BNI2,#biotech_rm_130a/ahu_status
,,AHU Static Pressure,ANI,#biotech_rm_130a/ahu_static
,,Chilled Water,ANI,#biotech_rm_130a/chilled_load_shed
,,Emergency Power,BNI,#biotech_rm_130a/em_power
,,Entering Air Temp,ANI,#biotech_rm_130a/ahu_dat
,,OA Humidity,ANI,#biotech_rm_130a/oah
,,OA Temp,ANI,#biotech_rm_130a/oat
,,Setpt Adjust,ANI,#biotech_rm_130a/setpt_adj
,,Steam,ANI,#biotech_rm_130a/steam_load_shed
,Rm 10040S,,,
,,Supply Flow Control,BAF,#biotech_rm_10040s/supply_airflow
,,Supply Flow Control / Flow Input,BAI,#biotech_rm_10040s/supply_airflow/flow_input
,,Setpoint,BSPTCS,#biotech_rm_10040s/setpt
,,Setpoint / Cooling Occupied Setpoint,BAV,#biotech_rm_10040s/setpt/occupied_cool_setpoint
,,Setpoint / Heating Occupied Setpoint,BAV,#biotech_rm_10040s/setpt/occupied_heat_setpoint
,,Setpoint / Cooling Unoccupied Setpoint,BAV,#biotech_rm_10040s/setpt/unoccupied_cool_setpoint
,,Setpoint / Heating Unoccupied Setpoint,BAV,#biotech_rm_10040s/setpt/unoccupied_heat_setpoint
,,Setpoint / Cooling Setpoint Adjust,BAV,#biotech_rm_10040s/setpt/cool_setpoint_adjust
,,Setpoint / Heating Setpoint Adjust,BAV,#biotech_rm_10040s/setpt/heat_setpoint_adjust
,,Setpoint / Effective Cooling Setpoint,BAV,#biotech_rm_10040s/setpt/effective_cool_setpoint
,,Setpoint / Effective Heating Setpoint,BAV,#biotech_rm_10040s/setpt/effective_heat_setpoint
,,Discharge Air Temp,BAI,#biotech_rm_10040s/dat
,,Zone Temp,ASVI,#biotech_rm_10040s/zone_temp
,,Active Zone,BAV,#biotech_rm_10040s/active_zones
,,chw_load_shed,BAV,#biotech_rm_10040s/m344
,,Color,BAV,#biotech_rm_10040s/color_av
,,Cooling Percent,BAV,#biotech_rm_10040s/cooling_percent_av
,,Cooling Setpoint,BAV,#biotech_rm_10040s/cooling_setpoint_av
,,Cool Request,BAV,#biotech_rm_10040s/cool_request
,,EI Weighting,BAV,#biotech_rm_10040s/ei_weight
,,Environmental Index Count,BAV,#biotech_rm_10040s/item_count
,,Heating Percent,BAV,#biotech_rm_10040s/heating_percent_av
,,Heating Setpoint,BAV,#biotech_rm_10040s/heating_setpoint_av
,,Heat Request,BAV,#biotech_rm_10040s/heat_request
,,Metric,BAV,#biotech_rm_10040s/metric_conv
,,OA Humidity,BAV,#biotech_rm_10040s/oa_humidity
,,OA Temperature,BAV,#biotech_rm_10040s/oa_temperature
,,point name,BAV,#biotech_rm_10040s/m339
,,Run Request,BAV,#biotech_rm_10040s/sys_run_req
,,Setpoint Adjust,BAV,#biotech_rm_10040s/sp_adj_av
,,steam_load_shed,BAV,#biotech_rm_10040s/m361
,,Supply Damper Position,BAV,#biotech_rm_10040s/sdmpr_pos
,,Supply Flow,BAV,#biotech_rm_10040s/sflow
,,Supply Flow Setpoint,BAV,#biotech_rm_10040s/sflow_sp
,,Supply Flow Stpt Deviation,BAV,#biotech_rm_10040s/sup_flo_stpt_dev
,,Zone EI Time Satisfied,BAV,#biotech_rm_10040s/zn_ei_time_sat
,,Zone EI Total Weight,BAV,#biotech_rm_10040s/total_weight
,,Zone Environmental Index,BAV,#biotech_rm_10040s/zn_enviro_indx
,,Zone Temp,BAV,#biotech_rm_10040s/zone_temp_av
,,Zone Weighted Environmental Index,BAV,#biotech_rm_10040s/enviro_windx
,,Airflow Request,BBV,#biotech_rm_10040s/air_request
,,EM Power DAT Alarm Enable,BBV,#biotech_rm_10040s/em_dat_enbl
,,EM Power Flow Alarm Enable,BBV,#biotech_rm_10040s/em_flow_enbl
,,EM Power Phoenix Alarm Enable,BBV,#biotech_rm_10040s/em_phx_enbl
,,EM Power Zone Temp Alarm Enable,BBV,#biotech_rm_10040s/em_zone_enbl
,,General Maintenance,BBV,#biotech_rm_10040s/general_maintenance
,,General Zone Alarm,BBV,#biotech_rm_10040s/general_zone_alarm
,,Local Occupied,BBV,#biotech_rm_10040s/local_occupied_bv
,,point name,BBV,#biotech_rm_10040s/m337
,,point name,BBV,#biotech_rm_10040s/m457
,,schedule,BBV,#biotech_rm_10040s/schedule
,,Scheduled Occupied,BBV,#biotech_rm_10040s/scheduled_occupied_bv
,,Supply VAV 1,BBV,#biotech_rm_10040s/svav-1_id
,,point name,BMSV,#biotech_rm_10040s/m381
,,DAT_ERROR_ALRM,BALM,#biotech_rm_10040s/dat_error_alrm
,,Supply Flow Alarm,BALM,#biotech_rm_10040s/supply_flo_alrm
,,Zone Temp Alarm,BALM,#biotech_rm_10040s/ztmp_alrm
,,ZS Alarm,BALM,#biotech_rm_10040s/zs_alrm
,,AHU Fan Status,BNI2,#biotech_rm_10040s/ahu_status
,,AHU Static Pressure,ANI,#biotech_rm_10040s/ahu_static
,,Chilled Water,ANI,#biotech_rm_10040s/chilled_load_shed
,,Emergency Power,BNI,#biotech_rm_10040s/em_power
,,Entering Air Temp,ANI,#biotech_rm_10040s/ahu_dat
,,OA Humidity,ANI,#biotech_rm_10040s/oah
,,OA Temp,ANI,#biotech_rm_10040s/oat
,,Setpt Adjust,ANI,#biotech_rm_10040s/setpt_adj
,,Steam,ANI,#biotech_rm_10040s/steam_load_shed
,Rm 130B,,,
,,Supply Flow Control,BAF,#biotech_rm_130b/supply_airflow
,,Supply Flow Control / Flow Input,BAI,#biotech_rm_130b/supply_airflow/flow_input
,,Setpoint,BSPTCS,#biotech_rm_130b/setpt
,,Setpoint / Cooling Occupied Setpoint,BAV,#biotech_rm_130b/setpt/occupied_cool_setpoint
,,Setpoint / Heating Occupied Setpoint,BAV,#biotech_rm_130b/setpt/occupied_heat_setpoint
,,Setpoint / Cooling Unoccupied Setpoint,BAV,#biotech_rm_130b/setpt/unoccupied_cool_setpoint
,,Setpoint / Heating Unoccupied Setpoint,BAV,#biotech_rm_130b/setpt/unoccupied_heat_setpoint
,,Setpoint / Cooling Setpoint Adjust,BAV,#biotech_rm_130b/setpt/cool_setpoint_adjust
,,Setpoint / Heating Setpoint Adjust,BAV,#biotech_rm_130b/setpt/heat_setpoint_adjust
,,Setpoint / Effective Cooling Setpoint,BAV,#biotech_rm_130b/setpt/effective_cool_setpoint
,,Setpoint / Effective Heating Setpoint,BAV,#biotech_rm_130b/setpt/effective_heat_setpoint
,,Discharge Air Temp,BAI,#biotech_rm_130b/dat
,,Zone Temp,ASVI,#biotech_rm_130b/zone_temp
,,Reheat Valve,BAO,#biotech_rm_130b/hw_valve
,,FTR Valve,BFM,#biotech_rm_130b/ftr_valve
,,FTR Valve / open,BFM,#biotech_rm_130b/ftr_valve/open
,,FTR Valve / close,BFM,#biotech_rm_130b/ftr_valve/close
,,Active Zone,BAV,#biotech_rm_130b/active_zones
,,chw_load_shed,BAV,#biotech_rm_130b/m344
,,Color,BAV,#biotech_rm_130b/color_av
,,Cooling Percent,BAV,#biotech_rm_130b/cooling_percent_av
,,Cooling Setpoint,BAV,#biotech_rm_130b/cooling_setpoint_av
,,Cool Request,BAV,#biotech_rm_130b/cool_request
,,EI Weighting,BAV,#biotech_rm_130b/ei_weight
,,Environmental Index Count,BAV,#biotech_rm_130b/item_count
,,Heat DP Request,BAV,#biotech_rm_130b/heat_dp_request
,,Heating Percent,BAV,#biotech_rm_130b/heating_percent_av
,,Heating Setpoint,BAV,#biotech_rm_130b/heating_setpoint_av
,,Heat Request,BAV,#biotech_rm_130b/heat_request
,,Metric,BAV,#biotech_rm_130b/metric_conv
,,OA Humidity,BAV,#biotech_rm_130b/oa_humidity
,,OA Temperature,BAV,#biotech_rm_130b/oa_temperature
,,point name,BAV,#biotech_rm_130b/m339
,,Run Request,BAV,#biotech_rm_130b/sys_run_req
,,Setpoint Adjust,BAV,#biotech_rm_130b/sp_adj_av
,,steam_load_shed,BAV,#biotech_rm_130b/m361
,,Supply Damper Position,BAV,#biotech_rm_130b/sdmpr_pos
,,Supply Flow,BAV,#biotech_rm_130b/sflow
,,Supply Flow Setpoint,BAV,#biotech_rm_130b/sflow_sp
,,Supply Flow Stpt Deviation,BAV,#biotech_rm_130b/sup_flo_stpt_dev
,,Zone EI Time Satisfied,BAV,#biotech_rm_130b/zn_ei_time_sat
,,Zone EI Total Weight,BAV,#biotech_rm_130b/total_weight
,,Zone Environmental Index,BAV,#biotech_rm_130b/zn_enviro_indx
,,Zone Temp,BAV,#biotech_rm_130b/zone_temp_av
,,Zone Weighted Environmental Index,BAV,#biotech_rm_130b/enviro_windx
,,Airflow Request,BBV,#biotech_rm_130b/air_request
,,EM Power DAT Alarm Enable,BBV,#biotech_rm_130b/em_dat_enbl
,,EM Power Flow Alarm Enable,BBV,#biotech_rm_130b/em_flow_enbl
,,EM Power Phoenix Alarm Enable,BBV,#biotech_rm_130b/em_phx_enbl
,,EM Power Zone Temp Alarm Enable,BBV,#biotech_rm_130b/em_zone_enbl
,,General Maintenance,BBV,#biotech_rm_130b/general_maintenance
,,General Zone Alarm,BBV,#biotech_rm_130b/general_zone_alarm
,,Local Occupied,BBV,#biotech_rm_130b/local_occupied_bv
,,point name,BBV,#biotech_rm_130b/m337
,,point name,BBV,#biotech_rm_130b/m457
,,schedule,BBV,#biotech_rm_130b/schedule
,,Scheduled Occupied,BBV,#biotech_rm_130b/scheduled_occupied_bv
,,Supply VAV,BBV,#biotech_rm_130b/svav-1_id
,,point name,BMSV,#biotech_rm_130b/m381
,,DAT_ERROR_ALRM,BALM,#biotech_rm_130b/dat_error_alrm
,,Supply Flow Alarm,BALM,#biotech_rm_130b/supply_flo_alrm
,,Zone Temp Alarm,BALM,#biotech_rm_130b/ztmp_alrm
,,ZS Alarm,BALM,#biotech_rm_130b/zs_alrm
,,AHU Fan Status,BNI2,#biotech_rm_130b/ahu_status
,,AHU Static Pressure,ANI,#biotech_rm_130b/ahu_static
,,Chilled Water,ANI,#biotech_rm_130b/chilled_load_shed
,,Emergency Power,BNI,#biotech_rm_130b/em_power
,,Entering Air Temp,ANI,#biotech_rm_130b/ahu_dat
,,OA Humidity,ANI,#biotech_rm_130b/oah
,,OA Temp,ANI,#biotech_rm_130b/oat
,,Setpt Adjust,ANI,#biotech_rm_130b/setpt_adj
,,Steam,ANI,#biotech_rm_130b/steam_load_shed
,Rm 130C,,,
,,Supply Flow Control,BAF,#biotech_rm_130c/supply_airflow
,,Supply Flow Control / Flow Input,BAI,#biotech_rm_130c/supply_airflow/flow_input
,,Setpoint,BSPTCS,#biotech_rm_130c/setpt
,,Setpoint / Cooling Occupied Setpoint,BAV,#biotech_rm_130c/setpt/occupied_cool_setpoint
,,Setpoint / Heating Occupied Setpoint,BAV,#biotech_rm_130c/setpt/occupied_heat_setpoint
,,Setpoint / Cooling Unoccupied Setpoint,BAV,#biotech_rm_130c/setpt/unoccupied_cool_setpoint
,,Setpoint / Heating Unoccupied Setpoint,BAV,#biotech_rm_130c/setpt/unoccupied_heat_setpoint
,,Setpoint / Cooling Setpoint Adjust,BAV,#biotech_rm_130c/setpt/cool_setpoint_adjust
,,Setpoint / Heating Setpoint Adjust,BAV,#biotech_rm_130c/setpt/heat_setpoint_adjust
,,Setpoint / Effective Cooling Setpoint,BAV,#biotech_rm_130c/setpt/effective_cool_setpoint
,,Setpoint / Effective Heating Setpoint,BAV,#biotech_rm_130c/setpt/effective_heat_setpoint
,,Discharge Air Temp,BAI,#biotech_rm_130c/dat
,,Zone Temp,ASVI,#biotech_rm_130c/zone_temp
,,Reheat Valve,BAO,#biotech_rm_130c/hw_valve
,,Active Zone,BAV,#biotech_rm_130c/active_zones
,,chw_load_shed,BAV,#biotech_rm_130c/m344
,,Color,BAV,#biotech_rm_130c/color_av
,,Cooling Percent,BAV,#biotech_rm_130c/cooling_percent_av
,,Cooling Setpoint,BAV,#biotech_rm_130c/cooling_setpoint_av
,,Cool Request,BAV,#biotech_rm_130c/cool_request
,,EI Weighting,BAV,#biotech_rm_130c/ei_weight
,,Environmental Index Count,BAV,#biotech_rm_130c/item_count
,,Heat DP Request,BAV,#biotech_rm_130c/heat_dp_request
,,Heating Percent,BAV,#biotech_rm_130c/heating_percent_av
,,Heating Setpoint,BAV,#biotech_rm_130c/heating_setpoint_av
,,Heat Request,BAV,#biotech_rm_130c/heat_request
,,Metric,BAV,#biotech_rm_130c/metric_conv
,,OA Humidity,BAV,#biotech_rm_130c/oa_humidity
,,OA Temperature,BAV,#biotech_rm_130c/oa_temperature
,,point name,BAV,#biotech_rm_130c/m339
,,Run Request,BAV,#biotech_rm_130c/sys_run_req
,,Setpoint Adjust,BAV,#biotech_rm_130c/sp_adj_av
,,steam_load_shed,BAV,#biotech_rm_130c/m361
,,Supply Damper Position,BAV,#biotech_rm_130c/sdmpr_pos
,,Supply Flow,BAV,#biotech_rm_130c/sflow
,,Supply Flow Setpoint,BAV,#biotech_rm_130c/sflow_sp
,,Supply Flow Stpt Deviation,BAV,#biotech_rm_130c/sup_flo_stpt_dev
,,Zone EI Time Satisfied,BAV,#biotech_rm_130c/zn_ei_time_sat
,,Zone EI Total Weight,BAV,#biotech_rm_130c/total_weight
,,Zone Environmental Index,BAV,#biotech_rm_130c/zn_enviro_indx
,,Zone Temp,BAV,#biotech_rm_130c/zone_temp_av
,,Zone Weighted Environmental Index,BAV,#biotech_rm_130c/enviro_windx
,,Airflow Request,BBV,#biotech_rm_130c/air_request
,,EM Power DAT Alarm Enable,BBV,#biotech_rm_130c/em_dat_enbl
,,EM Power Flow Alarm Enable,BBV,#biotech_rm_130c/em_flow_enbl
,,EM Power Phoenix Alarm Enable,BBV,#biotech_rm_130c/em_phx_enbl
,,EM Power Zone Temp Alarm Enable,BBV,#biotech_rm_130c/em_zone_enbl
,,General Maintenance,BBV,#biotech_rm_130c/general_maintenance
,,General Zone Alarm,BBV,#biotech_rm_130c/general_zone_alarm
,,Local Occupied,BBV,#biotech_rm_130c/local_occupied_bv
,,point name,BBV,#biotech_rm_130c/m337
,,point name,BBV,#biotech_rm_130c/m457
,,schedule,BBV,#biotech_rm_130c/schedule
,,Scheduled Occupied,BBV,#biotech_rm_130c/scheduled_occupied_bv
,,Supply VAV 1,BBV,#biotech_rm_130c/svav-1_id
,,point name,BMSV,#biotech_rm_130c/m381
,,DAT_ERROR_ALRM,BALM,#biotech_rm_130c/dat_error_alrm
,,Supply Flow Alarm,BALM,#biotech_rm_130c/supply_flo_alrm
,,Zone Temp Alarm,BALM,#biotech_rm_130c/ztmp_alrm
,,ZS Alarm,BALM,#biotech_rm_130c/zs_alrm
,,AHU Fan Status,BNI2,#biotech_rm_130c/ahu_status
,,AHU Static Pressure,ANI,#biotech_rm_130c/ahu_static
,,Chilled Water,ANI,#biotech_rm_130c/chilled_load_shed
,,Emergency Power,BNI,#biotech_rm_130c/em_power
,,Entering Air Temp,ANI,#biotech_rm_130c/ahu_dat
,,OA Humidity,ANI,#biotech_rm_130c/oah
,,OA Temp,ANI,#biotech_rm_130c/oat
,,Setpt Adjust,ANI,#biotech_rm_130c/setpt_adj
,,Steam,ANI,#biotech_rm_130c/steam_load_shed
,Rm 130D,,,
,,Supply Flow Control,BAF,#biotech_rm_130d/supply_airflow
,,Supply Flow Control / Flow Input,BAI,#biotech_rm_130d/supply_airflow/flow_input
,,Setpoint,BSPTCS,#biotech_rm_130d/setpt
,,Setpoint / Cooling Occupied Setpoint,BAV,#biotech_rm_130d/setpt/occupied_cool_setpoint
,,Setpoint / Heating Occupied Setpoint,BAV,#biotech_rm_130d/setpt/occupied_heat_setpoint
,,Setpoint / Cooling Unoccupied Setpoint,BAV,#biotech_rm_130d/setpt/unoccupied_cool_setpoint
,,Setpoint / Heating Unoccupied Setpoint,BAV,#biotech_rm_130d/setpt/unoccupied_heat_setpoint
,,Setpoint / Cooling Setpoint Adjust,BAV,#biotech_rm_130d/setpt/cool_setpoint_adjust
,,Setpoint / Heating Setpoint Adjust,BAV,#biotech_rm_130d/setpt/heat_setpoint_adjust
,,Setpoint / Effective Cooling Setpoint,BAV,#biotech_rm_130d/setpt/effective_cool_setpoint
,,Setpoint / Effective Heating Setpoint,BAV,#biotech_rm_130d/setpt/effective_heat_setpoint
,,Discharge Air Temp,BAI,#biotech_rm_130d/dat
,,Zone Temp,ASVI,#biotech_rm_130d/zone_temp
,,Reheat Valve,BAO,#biotech_rm_130d/hw_valve
,,FTR Valve,BFM,#biotech_rm_130d/ftr_valve
,,FTR Valve / open,BFM,#biotech_rm_130d/ftr_valve/open
,,FTR Valve / close,BFM,#biotech_rm_130d/ftr_valve/close
,,Active Zone,BAV,#biotech_rm_130d/active_zones
,,chw_load_shed,BAV,#biotech_rm_130d/m344
,,Color,BAV,#biotech_rm_130d/color_av
,,Cooling Percent,BAV,#biotech_rm_130d/cooling_percent_av
,,Cooling Setpoint,BAV,#biotech_rm_130d/cooling_setpoint_av
,,Cool Request,BAV,#biotech_rm_130d/cool_request
,,EI Weighting,BAV,#biotech_rm_130d/ei_weight
,,Environmental Index Count,BAV,#biotech_rm_130d/item_count
,,Heat DP Request,BAV,#biotech_rm_130d/heat_dp_request
,,Heating Percent,BAV,#biotech_rm_130d/heating_percent_av
,,Heating Setpoint,BAV,#biotech_rm_130d/heating_setpoint_av
,,Heat Request,BAV,#biotech_rm_130d/heat_request
,,Metric,BAV,#biotech_rm_130d/metric_conv
,,OA Humidity,BAV,#biotech_rm_130d/oa_humidity
,,OA Temperature,BAV,#biotech_rm_130d/oa_temperature
,,point name,BAV,#biotech_rm_130d/m339
,,Run Request,BAV,#biotech_rm_130d/sys_run_req
,,Setpoint Adjust,BAV,#biotech_rm_130d/sp_adj_av
,,steam_load_shed,BAV,#biotech_rm_130d/m361
,,Supply Damper Position,BAV,#biotech_rm_130d/sdmpr_pos
,,Supply Flow,BAV,#biotech_rm_130d/sflow
,,Supply Flow Setpoint,BAV,#biotech_rm_130d/sflow_sp
,,Supply Flow Stpt Deviation,BAV,#biotech_rm_130d/sup_flo_stpt_dev
,,Zone EI Time Satisfied,BAV,#biotech_rm_130d/zn_ei_time_sat
,,Zone EI Total Weight,BAV,#biotech_rm_130d/total_weight
,,Zone Environmental Index,BAV,#biotech_rm_130d/zn_enviro_indx
,,Zone Temp,BAV,#biotech_rm_130d/zone_temp_av
,,Zone Weighted Environmental Index,BAV,#biotech_rm_130d/enviro_windx
,,Airflow Request,BBV,#biotech_rm_130d/air_request
