C1,Room,Pointname,Acronym,Point
Point List,,,,
Location:,Cornell University / Biotech Server / Biotech,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
Location,Control Program,Name,Type,Path
/Cornell University/Biotech Server/Biotech/Biotech Building Performance/Airflow Performance,,,,
,"Biotech ACS-1, 2, and 3 Performance",,,
,,Lab Setback Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_setback_active_10
,,Lab Setback Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_setback_active_11
,,Lab Setback Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_setback_active_2
,,Lab Setback Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_setback_active_3
,,Lab Setback Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_setback_active_4
,,Lab Setback Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_setback_active_5
,,Lab Setback Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_setback_active_6
,,Lab Setback Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_setback_active_7
,,Lab Setback Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_setback_active_8
,,Lab Setback Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_setback_active_9
,,Lab Setback Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_setback_count_1
,,Lab Setback Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_setback_count_10
,,Lab Setback Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_setback_count_11
,,Lab Setback Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_setback_count_2
,,Lab Setback Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_setback_count_3
,,Lab Setback Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_setback_count_4
,,Lab Setback Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_setback_count_5
,,Lab Setback Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_setback_count_6
,,Lab Setback Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_setback_count_7
,,Lab Setback Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_setback_count_8
,,Lab Setback Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_setback_count_9
,,Max Zone Exhaust Airflow #1,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_max_zn_eflow_1
,,Max Zone Exhaust Airflow #2,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_max_zn_eflow_2
,,Max Zone Exhaust Airflow #3,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_max_zn_eflow_3
,,Max Zone Exhaust Airflow #4,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_max_zn_eflow_4
,,Max Zone Exhaust Airflow #5,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_max_zn_eflow_5
